揮	brandish		12	662	23
推	conjecture		11	663	23
揚	hoist		12	664	23
提	propose		12	665	23
損	damage		13	666	23
拾	pick up		9	667	23
担	shouldering		8	668	23
拠	foothold		8	669	23
描	sketch		11	670	23
操	maneuver		16	671	23
接	touch		11	672	23
掲	put up a notice		11	673	23
掛	hang		11	674	23
研	polish		9	675	23
戒	commandment		7	676	23
械	contraption		11	677	23
鼻	nose		14	678	23
刑	punish		6	679	23
型	mould		9	680	23
才	genius		3	681	23
財	property		10	682	23
材	lumber		7	683	23
存	suppose		6	684	23
在	exist		6	685	23
乃	from		2	686	23
携	portable		13	687	23
及	reach out		3	688	23
吸	suck		6	689	23
扱	handle		6	690	23
丈	length		3	691	23
史	history		5	692	23
吏	officer		6	693	23
更	grow late		7	694	23
硬	stiff		12	695	23
又	or again		2	696	23
双	pair		4	697	23
桑	mulberry		10	698	23
隻	vessels		10	699	23
護	safeguard		20	700	23
獲	seize		16	701	23
奴	guy		5	702	23
怒	angry		9	703	23
友	friend		4	704	23
抜	slip out		7	705	23
投	throw		7	706	23
没	drown		7	707	23
設	establishment		11	708	23
撃	beat		15	709	23
殻	husk		11	710	23
支	branch		4	711	23
技	skill		7	712	23
枝	bough		8	713	23
肢	limb		8	714	23
茎	stalk		8	715	23
怪	suspicious		8	716	23
軽	lightly		12	717	23
叔	uncle		8	718	23
督	coach		13	719	23
寂	loneliness		11	720	23
淑	graceful		11	721	23
反	anti-		4	722	23
坂	slope		7	723	23
板	plank		8	724	23
返	return		7	725	23
販	marketing		11	726	23
爪	claw		4	727	23
妥	gentle		7	728	23
乳	milk		8	729	23
浮	floating		10	730	23
将	leader		10	731	23
奨	exhort		13	732	23
採	pick		11	733	23
菜	vegetable		11	734	23
受	accept		8	735	23
授	impart		11	736	23
愛	love		13	737	23
払	pay		5	738	23
広	wide		5	739	23
拡	broaden		8	740	23
鉱	mineral		13	741	23
弁	valve		5	742	23
雄	masculine		12	743	23
台	pedestal		5	744	23
怠	neglect		9	745	23
治	reign		8	746	23
始	commence		8	747	23
胎	womb		9	748	23
窓	window		11	749	23
去	gone		5	750	23
法	method		8	751	23
会	meeting		6	752	23
至	climax		6	753	23
室	room		9	754	23
到	arrival		8	755	23
致	doth		10	756	23
互	mutually		4	757	23
棄	abandon		13	758	23
育	bring up		8	759	23
撤	remove		15	760	23
充	allot		6	761	23
銃	gun		14	762	23
硫	sulfur		12	763	23
流	current		10	764	23
允	license		4	765	23
唆	tempt		10	766	23
出	exit		5	767	24
山	mountain		3	768	24
拙	bungling		8	769	24
岩	boulder		8	770	24
炭	charcoal		9	771	24
岐	branch off		7	772	24
峠	mountain peak		9	773	24
崩	crumble		11	774	24
密	secrecy		11	775	24
蜜	honey		12	776	24
嵐	storm		12	777	24
崎	promontory		11	778	24
入	enter		2	779	24
込	crowded		5	780	24
分	part		4	781	24
貧	poverty		11	782	24
頒	partition		13	783	24
公	public		4	784	24
松	pine tree		8	785	24
翁	venerable old man		10	786	24
訟	sue		11	787	24
谷	valley		7	788	24
浴	bathe		10	789	24
容	contain		10	790	24
溶	melt		13	791	24
欲	longing		11	792	24
裕	abundant		12	793	24
鉛	lead (metal)		13	794	24
沿	run alongside		8	795	24
賞	prize		15	796	25
党	party		10	797	25
堂	public chamber		11	798	25
常	usual		11	799	25
裳	skirt		14	800	25
掌	manipulate		12	801	25
皮	pelt		5	802	25
波	waves		8	803	25
婆	old woman		11	804	25
披	expose		8	805	25
破	rend		10	806	25
被	incur		10	807	25
残	remainder		10	808	25
殉	martyrdom		10	809	25
殊	particularly		10	810	25
殖	augment		12	811	25
列	file		6	812	25
裂	split		12	813	25
烈	ardent		10	814	25
死	death		6	815	25
葬	interment		12	816	25
瞬	wink		18	817	25
耳	ear		6	818	25
取	take		8	819	25
趣	gist		15	820	25
最	utmost		12	821	25
撮	snapshot		15	822	25
恥	shame		10	823	25
職	post		18	824	25
聖	holy		13	825	25
敢	daring		12	826	25
聴	listen		17	827	25
懐	pocket		16	828	25
慢	ridicule		14	829	25
漫	loose		14	830	25
買	buy		12	831	25
置	placement		13	832	25
罰	penalty		14	833	25
寧	rather		14	834	25
濁	voiced		16	835	25
環	ring		17	836	25
還	send back		16	837	25
夫	husband		4	838	25
扶	aid		7	839	25
渓	mountain stream		11	840	25
規	standard		11	841	25
替	exchange		12	842	25
賛	approve		15	843	25
潜	submerge		15	844	25
失	lose		5	845	25
鉄	iron		13	846	25
迭	alternate		8	847	25
臣	retainer		7	848	25
姫	princess		10	849	25
蔵	storehouse		15	850	25
臓	entrails		19	851	25
賢	intelligent		16	852	25
堅	strict		12	853	25
臨	look to		18	854	25
覧	perusal		17	855	25
巨	gigantic		5	856	25
拒	repel		8	857	25
力	power		2	858	25
男	male		7	859	25
労	labor		7	860	25
募	recruit		12	861	25
劣	inferiority		6	862	25
功	achievement		5	863	25
勧	persuade		13	864	25
努	toil		7	865	25
励	encourage		7	866	25
加	add		5	867	25
賀	congratulations		12	868	25
架	erect		9	869	25
脇	armpit		10	870	25
脅	threaten		10	871	25
協	co-		8	872	25
行	going		6	873	25
律	rhythm		9	874	25
復	restore		12	875	25
得	gain		11	876	25
従	accompany		10	877	25
